,mean,mean,std,std
Poison_Ratio,0.2,0.4,0.2,0.4
Variant,,,,
alpha=0.25,96.15,96.2,0.79,0.21
alpha=1.0,95.82,96.2,1.28,0.21
alpha=1.5,95.82,96.2,1.28,0.21
baseline,95.8,96.2,1.27,0.21
decay_factor=0.1,95.8,96.14,1.27,0.3
decay_factor=0.4,95.8,96.08,1.27,0.4
decay_factor=0.8,95.82,96.06,1.31,0.52
high_gate=0.8,91.58,91.21,5.93,5.86
high_gate=0.9,96.18,95.72,0.54,0.84
low_gate=0.6,95.8,96.17,1.27,0.25
low_gate=0.8,96.19,96.27,0.73,0.13
min_safety_threshold=0.2,96.3,96.13,0.31,0.45
min_safety_threshold=0.6,96.07,96.0,0.75,0.38
warmup_rounds=0,96.26,95.75,0.68,0.8
warmup_rounds=4,96.03,95.98,0.83,0.59
