Method,Accuracy,Detection Rate (Recall),Precision,F1-Score,False Alarm Rate (FAR),FAR Benign->Attack,Experiment,Seed,Poison_Ratio,Rounds,Variant,Training Time (s)
FedAvg,82.37,56.77,54.41,46.39,6.85,4.09,smoke,0,0.0,2,,22.44
FedProx,90.19,65.46,72.08,60.64,3.6,3.84,smoke,0,0.0,2,,32.98
DyF-ZTL,82.69,55.92,44.23,49.12,7.27,3.29,smoke,0,0.0,2,,29.63
FuzzyNoTrust,82.71,55.77,44.34,49.16,7.27,3.24,smoke,0,0.0,2,,23.78
DeepTrust,82.56,56.63,42.26,47.94,7.08,3.6,smoke,0,0.0,2,,22.43
Krum,91.31,53.24,50.53,51.52,3.03,3.18,smoke,0,0.4,2,,18.7
MultiKrum,93.18,81.63,73.42,75.34,1.94,5.05,smoke,0,0.4,2,,18.73
Median,88.66,80.81,62.0,68.21,2.17,13.67,smoke,0,0.4,2,,18.99
TrimmedMean,88.64,80.88,62.59,68.65,2.15,13.78,smoke,0,0.4,2,,19.73
FLTrust,90.38,53.01,48.66,49.93,3.04,3.87,smoke,0,0.4,2,,19.86
DyF-ZTL,77.26,39.68,28.2,28.81,5.78,2.85,smoke,0,0.4,2,,24.25
FedAvg,92.9,73.85,86.64,70.99,2.51,3.49,main,0,0.0,100,,2344.82
FedProx,96.31,87.84,89.87,86.63,1.02,3.18,main,0,0.0,100,,3291.31
DyF-ZTL,96.99,95.61,87.66,90.94,0.63,3.54,main,0,0.0,100,,2724.61
FedAvg,93.33,73.07,88.07,72.15,2.51,2.64,main,1,0.0,100,,2350.53
FedProx,96.25,91.73,88.27,88.79,1.02,3.29,main,1,0.0,100,,3383.53
DyF-ZTL,97.1,96.72,87.74,91.4,0.58,3.51,main,1,0.0,100,,2858.3
FedAvg,96.0,90.59,85.2,86.52,0.85,4.61,main,2,0.0,100,,2406.31
FedProx,96.42,98.59,84.33,90.31,0.56,5.08,main,2,0.0,100,,3432.23
DyF-ZTL,96.33,98.35,84.0,90.01,0.58,5.19,main,2,0.0,100,,2920.94
FedAvg,96.33,94.99,85.24,89.31,0.76,4.34,main,3,0.0,100,,2600.89
FedProx,96.23,97.97,83.72,89.69,0.62,5.19,main,3,0.0,100,,3701.52
DyF-ZTL,96.36,97.52,84.49,90.0,0.6,5.0,main,3,0.0,100,,3114.59
FedAvg,93.52,72.07,75.5,70.75,2.41,2.69,main,4,0.0,100,,2179.41
FedProx,97.18,95.69,89.16,91.78,0.63,3.13,main,4,0.0,100,,3148.49
DyF-ZTL,97.12,96.27,87.64,91.43,0.53,3.73,main,4,0.0,100,,2751.23
FuzzyNoTrust,93.03,70.78,70.48,67.05,2.59,2.88,ablation,0,0.0,100,,2497.07
DeepTrust,95.47,82.64,85.78,81.27,1.36,3.4,ablation,0,0.0,100,,2531.26
FuzzyNoTrust,96.25,89.89,87.18,87.33,1.02,3.32,ablation,1,0.0,100,,2617.0
DeepTrust,94.89,83.27,85.33,82.32,1.61,3.51,ablation,1,0.0,100,,2724.21
