Round,Threshold,Client_0,Client_1,Client_2,Client_3,Client_4,Client_5,Client_6,Client_7,Client_8,Client_9,Client_10,Client_11,Client_12,Client_13,Client_14,Client_15,Client_16,Client_17,Client_18,Client_19
0,0.1,1.0,0.9,1.0,1.0,1.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9
1,0.1,1.0,0.81,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.81
2,0.1,1.0,0.7290000000000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7290000000000001
3,0.6337040977572223,0.9,0.1458,1.0,0.9,0.9,0.9,0.9,1.0,0.2,0.9,1.0,0.9,0.9,1.0,1.0,1.0,1.0,0.9,0.2,0.1458
4,0.544604670114158,0.81,0.029160000000000005,1.0,0.81,0.81,0.81,0.81,1.0,0.04000000000000001,0.81,1.0,0.81,0.81,1.0,1.0,1.0,1.0,0.81,0.04000000000000001,0.029160000000000005
5,0.5008773418209976,0.7290000000000001,0.005832000000000001,1.0,0.7290000000000001,0.7290000000000001,0.7290000000000001,0.7290000000000001,1.0,0.008000000000000002,0.7290000000000001,1.0,0.7290000000000001,0.7290000000000001,1.0,1.0,1.0,1.0,0.7290000000000001,0.008000000000000002,0.005832000000000001
6,0.4728791150157283,0.6561000000000001,0.0011664000000000004,1.0,0.6561000000000001,0.6561000000000001,0.6561000000000001,0.6561000000000001,1.0,0.0016000000000000005,0.6561000000000001,1.0,0.6561000000000001,0.7790000000000001,1.0,1.0,1.0,1.0,0.6561000000000001,0.0016000000000000005,0.0011664000000000004
7,0.4475455034001608,0.5904900000000002,0.0002332800000000001,1.0,0.5904900000000002,0.5904900000000002,0.5904900000000002,0.5904900000000002,1.0,0.00032000000000000013,0.5904900000000002,1.0,0.5904900000000002,0.8290000000000002,1.0,1.0,1.0,1.0,0.5904900000000002,0.00032000000000000013,0.0002332800000000001
8,0.42934816678217813,0.5314410000000002,4.665600000000002e-05,1.0,0.6404900000000002,0.5314410000000002,0.5314410000000002,0.5314410000000002,1.0,0.0002880000000000001,0.5314410000000002,1.0,0.5314410000000002,0.8790000000000002,1.0,1.0,1.0,1.0,0.5314410000000002,6.400000000000002e-05,4.665600000000002e-05
9,0.4119891333697719,0.47829690000000014,9.331200000000005e-06,1.0,0.6904900000000003,0.47829690000000014,0.47829690000000014,0.47829690000000014,1.0,0.0002592000000000001,0.47829690000000014,1.0,0.47829690000000014,0.9290000000000003,1.0,1.0,1.0,1.0,0.47829690000000014,1.2800000000000006e-05,9.331200000000005e-06
10,0.4,0.43046721000000016,1.8662400000000011e-06,1.0,0.7404900000000003,0.43046721000000016,0.43046721000000016,0.43046721000000016,1.0,0.00023328000000000012,0.43046721000000016,1.0,0.43046721000000016,0.9790000000000003,1.0,1.0,1.0,1.0,0.43046721000000016,2.5600000000000013e-06,1.8662400000000011e-06
11,0.4,0.38742048900000015,3.7324800000000025e-07,1.0,0.7904900000000004,0.38742048900000015,0.38742048900000015,0.38742048900000015,1.0,0.00020995200000000012,0.38742048900000015,1.0,0.38742048900000015,1.0,1.0,1.0,1.0,1.0,0.38742048900000015,5.120000000000002e-07,3.7324800000000025e-07
12,0.4,0.34867844010000015,7.464960000000005e-08,1.0,0.8404900000000004,0.34867844010000015,0.34867844010000015,0.34867844010000015,1.0,4.1990400000000024e-05,0.34867844010000015,1.0,0.34867844010000015,1.0,1.0,1.0,1.0,1.0,0.34867844010000015,1.0240000000000006e-07,7.464960000000005e-08
13,0.4,0.31381059609000017,1.4929920000000013e-08,1.0,0.8904900000000004,0.31381059609000017,0.31381059609000017,0.31381059609000017,1.0,8.398080000000005e-06,0.31381059609000017,1.0,0.31381059609000017,1.0,1.0,1.0,1.0,1.0,0.31381059609000017,2.0480000000000012e-08,1.4929920000000013e-08
14,0.4,0.28242953648100017,2.9859840000000026e-09,1.0,0.9404900000000005,0.28242953648100017,0.28242953648100017,0.28242953648100017,1.0,1.6796160000000013e-06,0.28242953648100017,1.0,0.28242953648100017,1.0,1.0,1.0,1.0,1.0,0.28242953648100017,4.096000000000002e-09,2.9859840000000026e-09
15,0.4,0.25418658283290013,5.971968000000006e-10,1.0,0.9904900000000005,0.25418658283290013,0.25418658283290013,0.25418658283290013,1.0,3.359232000000003e-07,0.25418658283290013,1.0,0.25418658283290013,1.0,1.0,1.0,1.0,1.0,0.25418658283290013,8.192000000000005e-10,5.971968000000006e-10
16,0.4,0.22876792454961012,1.1943936000000012e-10,1.0,1.0,0.22876792454961012,0.22876792454961012,0.22876792454961012,1.0,6.718464000000006e-08,0.22876792454961012,1.0,0.22876792454961012,1.0,1.0,1.0,1.0,1.0,0.22876792454961012,1.6384000000000013e-10,1.1943936000000012e-10
17,0.4,0.2058911320946491,2.3887872000000026e-11,1.0,1.0,0.2058911320946491,0.2058911320946491,0.27876792454961014,1.0,1.3436928000000013e-08,0.2058911320946491,1.0,0.2058911320946491,1.0,1.0,1.0,1.0,1.0,0.2058911320946491,3.276800000000003e-11,2.3887872000000026e-11
18,0.4,0.1853020188851842,4.7775744000000056e-12,1.0,1.0,0.1853020188851842,0.2558911320946491,0.25089113209464914,1.0,2.687385600000003e-09,0.1853020188851842,1.0,0.2558911320946491,1.0,1.0,1.0,1.0,1.0,0.1853020188851842,6.553600000000006e-12,4.7775744000000056e-12
19,0.4,0.16677181699666577,9.55514880000001e-13,1.0,1.0,0.16677181699666577,0.23030201888518417,0.22580201888518422,1.0,5.374771200000006e-10,0.16677181699666577,1.0,0.23030201888518417,1.0,1.0,1.0,1.0,1.0,0.2353020188851842,1.3107200000000013e-12,9.55514880000001e-13
